id,pt_desc1,pt_desc2,pt_um,pt_prod_line,pt_vend
129265012-F,RTRNWA002TDPZ-V-F,,P,W001,NULL
129265012-WC,RTRNWA002TDPZ-V-WC,,P,W001,NULL
129265013,STTX18-V,SWT-A2,P,FT01,NULL
129265013-F,STTX18-V-F,,P,W001,NULL
129265013-WC,STTX18-V-WC,,P,W001,NULL
129265014,KX-3820-K-V,SWT-B1,P,FT01,NULL
129265014-F,KX-3820-K-V-F,,P,W001,NULL
129265014-WC,KX-3820-K-WC,,P,W001,NULL
129265015,HF13169A-V,SWT-B1,P,FT01,NULL
129265015-F,HF13169A-V-F,,P,W001,NULL
129265015-WC,HF13169A-V-WC,,P,W001,NULL
129265016,HF13172A-V,SWT-A1,P,FT01,NULL
129265016-F,HF13172A-V-F,,P,W001,NULL
129265016-WC,HF13172A-V-WC,,P,W001,NULL
129265017,HF13179-V,SWT-A1,P,FT01,NULL
129265017-F,HF13179-V-F,,P,W001,NULL
129265017-WC,HF13179-V-WC,,P,W001,NULL
129265018,G4DYA0000613-V,SWT-B1,P,FT01,NULL
129265018-F,G4DYA0000613-V-F,,P,W001,NULL
129265018-WC,G4DYA0000613-V-WC,,P,W001,NULL
129265019,HF13216D-V,SWT-B1,P,FT01,NULL
129265019-F,HF13216D-V-F,,P,W001,NULL
129265019-WC,HF13216D-V-WC,,P,W001,NULL
129265020,HF13217C-V,SWT-C1,P,FT01,NULL
129265020-F,HF13217C-V-F,,P,W001,NULL
129265020-WC,HF13217C-V-WC,,P,W001,NULL
129265021,G4DYA0000711-V,SWT-B2,P,FT01,NULL
129265021-F,G4DYA0000711-V-F,,P,W001,NULL
129265021-WC,G4DYA0000711-V-WC,,P,W001,NULL
129265022,G4DYA0000754-V,SWT-C1,P,FT01,NULL
129265022-F,G4DYA0000754-V-F,,P,FT01,NULL
129265022-WC,G4DYA000754-V-WC,,P,FT01,NULL
129295074,G4DYA0000725-V,SWT-B2,P,FT01,NULL
129295074-F,G4DYA0000725-V-F,,P,W001,NULL
129295074-WC,G4DYA0000725-V-WC,,P,W001,NULL
129295075,G4DYA0000743-V,SWT-B1,P,FT01,NULL
129295075-F,G4DYA0000743-V-F,,P,W001,NULL
129295075-WC,G4DYA0000743-V-WC,,P,W001,NULL
129295076,G4DYA0000758-V,SWT-B1,P,FT01,NULL
129295076-F,G4DYA0000758-V-F,,P,W001,NULL
129295076-WC,G4DYA0000758-V-WC,,P,W001,NULL
129305009,PTTX143-V,SWT-B2,P,FT01,NULL
129305009-F,PTTX143-V-F,,P,W001,NULL
129305009-WC,PTTX143-V-WC,,P,W001,NULL
129315117,129310024-V,SWT-B2,P,FT01,NULL
129315117-F,129310024-V-F,,P,W001,NULL
129315117-WC,129310024-V-WC,,P,W001,NULL
129315118,3EB74078-1-V,SWT-B3,P,FT01,NULL
129315118-F,3EB74078-1-V-F,,P,W001,NULL
129315118-WC,3EB74078-1-V-WC,,P,W001,NULL
129315119,3EB74089-1-V,SWT-B3,P,FT01,NULL
129315119-F,3EB74089-1-V-F,,P,W001,NULL
129315119-WC,3EB74089-1-V-WC,,P,W001,NULL
129315120,3EB74095-1-V,SWT-B2,P,FT01,NULL
129315120-F,3EB74095-1-V-F,,P,W001,NULL
129315120-WC,3EB74095-1-V-WC,,P,W001,NULL
129315121,3EB74100-1-V,SWT-B2E,P,FT01,NULL
129315121-F,3EB74100-1-V-F,,P,W001,NULL
129315121-WC,3EB74100-1-V-WC,,P,W001,NULL
129315122,3EB74103-1-V,SWT-B2,P,FT01,NULL
129315122-F,3EB74103-1-V-F,,P,W001,NULL
129315122-WC,3EB74103-1-V-WC,,P,W001,NULL
129315123,3EB74104-1-V,SWT-B1,P,FT01,NULL
